experiment_id,declared_date,phase,status,hypothesis,kill_test,config_path,data_scope,code_ref,run_command,primary_metric,result_summary,artifact_path,builder,reviewer,review_status,notes
EXP-0013,2026-07-18,experiment,completed,A fixed early-flat cutoff before the close improves NQ risk-adjusted returns,"Reject if NQ max-cell Sharpe uplift over baseline < +0.10, or (if the real gate passes) Null C family-max upper-tail p > 0.05; weaken if Sharpe gain only cuts net R or sign does not transfer to ES",experiments/configs/hyp_0006_early_flat.json,NQ primary and ES sibling clean Databento RTH history through 2026 on common post-lookback-90 sample,scripts/hyp_0006_early_flat.py (flat_before_close in core/engine2.py),python -m futures.nq.noise_vwap.scripts.hyp_0006_early_flat <real|null> <NQ|ES> 30,max-cell zero-trade-day daily net-ATR-R Sharpe uplift over the cutoff-0 baseline across the cutoff family,"REJECT: NQ best cutoff 45 dSharpe +0.101 (clears Sharpe) but net R -0.8 below baseline (fails net-R gate) and maxDD worse; ES all cutoffs hurt (net R 51.5->43-44 Sh best -0.030) so sign does not transfer. No Null C (gate failed). NOT a tail-truncation (p90R preserved) - variance reshaping only. Recent 2023+ NQ Sharpe jumps 1.10->1.54 = forward-shadow watch, not a historical edge. Retain ride-to-close.",artifacts/runs/EXP-0013,Claude (Opus 4.8),Claude (Opus 4.8),reviewed-concur,hypothesis=experiments/hypotheses/HYP-0006.md; flat_before_close added default-off to core/engine2.py (cutoff=0 parity verified); cutoff family 15/30/45/60 min; NQ near-miss (Sharpe passed netR failed) ES opposite sign so no Null C per standing rule; recent-2023 NQ Sharpe 1.10->1.54 forward-watch; independent review 2026-07-19 REJECT confirmed
EXP-0014,2026-07-19,experiment,completed,The fixed EXP-0012 ES exit-band operating point delivers consistent implementation utility,"Reject production-default adoption if treatment fails to improve both net R and max drawdown on full sample, or if fewer than 3 of 4 predefined eras improve both; weaken if benefit disappears at 0.5 tick per side or materially worsens worst-day/weekly tail loss.",experiments/configs/hyp_0007_es_exit_band_utility.json,"ES clean Databento RTH history through 2026, common post-lookback-90 sample",scripts/hyp_0007_es_exit_band_utility.py,python -m futures.nq.noise_vwap.scripts.hyp_0007_es_exit_band_utility,Joint net-ATR-R and max-drawdown improvement by era,"REJECT unconditional ES default: frozen s0.5_y0.5 improves full-sample net R/Sharpe/maxDD (84.3/1.02/6.22R vs 51.5/0.70/7.45R) and cuts trades 37%, but joint return+drawdown improvement passes only 1/4 eras; recent maxDD and worst-week loss worsen, and 2025+ net R falls. Strong cost resilience supports default-off forward shadow as execution machinery, not alpha.",artifacts/runs/EXP-0014,Codex,unassigned,pending,"hypothesis=experiments/hypotheses/HYP-0007.md; No parameter search; frozen EXP-0012 ES cell. Outputs: utility_summary.csv, turnover_holding.csv, paired_daily_delta.csv, voltarget_summary.csv; review.md contains interpretation."
EXP-0015,2026-07-19,diagnostic,completed,Explore whether causal breakout-time features show conditional profit structure before fitting ML,No edge claim; promote only if a simple rule or model is preregistered and survives full engine rerun plus Null C,none-exploratory,NQ continuous-stop WFO trade dataset on clean Databento RTH history through 2026,scripts/feature_profit_diagnostics.py,python -m futures.nq.noise_vwap.scripts.feature_profit_diagnostics,Feature quantile mean net-ATR-R and gap x RVOL interaction,"SCREEN: simple correlations are weak, but RVOL top quintile has the clearest conditional structure (meanR +0.0538 vs baseline +0.0217) and aligned gap improves monotonically by quintile. Low RVOL plus gap-against is the obvious bad corner; gap-with cells are all positive. This is not validated alpha and needs OOS/simple-rule or model testing with Null C before use.",artifacts/runs/EXP-0015,Codex,unassigned,not-reviewed,"Exploratory only; RVOL is signal-minute volume divided by strictly prior 90-session same-mfo average. Outputs: feature_trade_dataset.parquet, correlations.csv, quantile_bins.csv, gap_rvol_grid.csv, era_top_bottom.csv, review.md."
EXP-0016,2026-07-19,experiment,completed,A fixed gap-against low-RVOL veto improves the NQ continuous-stop baseline,"Reject unless full-sample net R and daily Sharpe both improve, at least 90 percent of baseline trades remain, and net-R uplift beats 30 paired Null-C draws at z>=2; weaken if uplift is not positive in both pre-2023 and 2023+ eras.",experiments/configs/hyp_0008_gap_rvol_veto.json,"NQ clean Databento RTH history through 2026, post-lookback-90 eligible sessions; historically consumed discovery sample",scripts/hyp_0008_gap_rvol_veto.py,python -u -m futures.nq.noise_vwap.scripts.hyp_0008_gap_rvol_veto 30,"Paired full-pipeline net-ATR-R uplift versus paired Null-C distribution, with daily zero-trade-session Sharpe co-primary","REJECT: fixed aligned-gap<0 and RVOL90<1.2 veto raised real net R by +3.97R and daily Sharpe by +0.236, with positive net-R deltas pre-2023 and 2023+, but retained only 86.1% of trades (below 90% gate) and paired Null-C reproduced a larger +5.18R average uplift (sd 5.18, z=-0.23, null>=real 53.3%). Treat as selectivity/turnover, not predictive alpha; do not adopt or escalate to XGBoost from this rule.",artifacts/runs/EXP-0016,Codex,unassigned,pending,"hypothesis=experiments/hypotheses/HYP-0008.md; One frozen rule from EXP-0015; 30 corrected paired Null-C draws seeds 12000..12029; full feature, band, gate, engine, and trade pipeline rerun per draw. Historical sample consumed; future shadow is only clean holdout."
EXP-0017,2026-07-19,experiment,completed,A frozen overnight-gap and RVOL interaction schedule improves NQ capital allocation,"Reject unless full-sample daily Sharpe improves, total weighted net R is at least baseline, max drawdown improves, and Sharpe uplift beats 30 paired Null-C draws at z>=2; weaken if net-R uplift is not positive in both pre-2023 and 2023+ eras.",experiments/configs/hyp_0009_gap_rvol_sizing.json,"NQ clean Databento RTH history through 2026, post-lookback-90 eligible sessions; historically consumed discovery sample",scripts/hyp_0009_gap_rvol_sizing.py,python -u -m futures.nq.noise_vwap.scripts.hyp_0009_gap_rvol_sizing 30,Zero-eligible-session daily net-ATR-R Sharpe uplift and max-drawdown improvement versus paired Null-C Sharpe uplift distribution,"REJECT: frozen gap/RVOL sizing improved real zero-day Sharpe 1.288->1.398 (+0.111), net R 91.20->101.97 (+10.78R), and maxDD 4.70->4.42R at 0.957x mean trade weight, with positive net-R deltas pre-2023 (+8.40R) and 2023+ (+2.38R). However, paired Null C reproduced mean Sharpe uplift +0.074 (sd 0.045); real-vs-null z=0.81 and 30% of draws beat real, failing z>=2. Do not adopt as validated alpha; at most retain as a default-off future-shadow sizing candidate.",artifacts/runs/EXP-0017,Codex,unassigned,pending,"hypothesis=experiments/hypotheses/HYP-0009.md; One frozen four-level schedule; no parameter search. 30 corrected paired Null-C draws seeds 13000..13029; bands, signals, RVOL, trades, weights, scaled costs, and zero-day portfolio metrics rebuilt per draw. Every baseline trade retained. Fractional risk units require MNQ/multi-contract implementation or causal rounding before deployment."
EXP-0018,2026-07-19,experiment,completed,ES cross-market breakout confirmation gates NQ noise-VWAP entries,"Reject unless the agree variant lifts net daily Sharpe by >= +0.05 over the common-set baseline; if it clears, the uplift must beat the re-pairing null at z>=2 and frac(null>=real)<0.05",experiments/configs/hyp_0010_es_confirm.json,"NQ primary and ES confirmer, clean Databento RTH history through 2026, common post-lookback-90 date set; consumed discovery sample",scripts/hyp_0010_es_confirm.py (ext_state/cond_mode overlay in core/engine.py),python -m futures.nq.noise_vwap.scripts.hyp_0010_es_confirm NQ 90 0.50 200,net daily Sharpe uplift of agree over common-set baseline vs re-pairing null,"REJECT as deployable alpha: PRIMARY agree (take NQ signal only if ES same-direction breakout) net daily Sharpe 1.074 vs baseline 1.102 (uplift -0.029, fails +0.05 gate) and cuts total net R ~25%. UNLIKE GC, agree is NOT a rarity filter: it RAISES gross/trade (+5.30 vs +4.95), net/trade (+4.83 vs +4.47) and hit-rate (0.407 vs 0.380) - ES confirmation concentrates per-trade quality (user intuition supported at per-trade level) but only as a turnover/capacity lever, not risk-adjusted alpha. gate~=agree (coupling). Soft vwap-side gate inert/harmful (noise-area breakout not VWAP sign carries info). es_dir worse (0.70), es_opp genuinely negative (no mirror trap; ES does not lead NQ). Only Sharpe-beater disagree +0.105 fails re-pairing null (200 draws, null center +0.0001, z=1.08, 14% beat real) - weaker than GC's marginal disagree. Retain unconditioned baseline.",artifacts/runs/EXP-0018,Claude (Opus 4.8),unassigned,pending,hypothesis=experiments/hypotheses/HYP-0010.md
EXP-0019,2026-07-20,experiment,completed,Volatility-conditional exit-check cadence for a fixed-1-contract prop account,"REJECT unless dollar-Sharpe uplift (cond-everybar) > 0, treatment net$ >= baseline net$, and upper-tail p <= 0.05 vs Null C",experiments/configs/hyp_0011_cond_cadence.json,"NQ primary + ES sibling, clean Databento RTH through 2026, common post-lookback-90 date set (consumed)",working-tree,python -m futures.nq.noise_vwap.scripts.hyp_0011_cond_cadence null NQ 30,dollar fixed-1-contract zero-day daily net Sharpe uplift vs Null C,"REJECT: vol-conditional exit cadence (hi-vol->15m/lo-vol->1m, causal intraday-range regime) does NOT beat a fixed continuous stop for a fixed-1-contract account. cond is DOMINATED by both fixed everybar and fixed cad15 on dollar Sharpe (NQ cond 0.92 vs everybar 0.96 vs cad15 0.97; ES 0.70 vs 0.69 vs 0.81). Null C cond-everybar dollar uplift NQ -0.042 p=0.74 (null CENTERS POSITIVE +0.032, real BELOW null), ES +0.017 p=0.84 (null +0.082, real below). Positive null center = variance amplifier (whipsaw reduction is a vol/path-geometry property the Null C preserves), same signature as EXP-0010/0012. Fixed-15 companion also failed (ATR-R NQ +0.034 p=0.29 ES +0.058 p=0.19; dollar marginal p=0.064/0.097, all vol-era weighting per rule 19). Retain fixed continuous stop.",artifacts/runs/EXP-0019,Claude (Opus 4.8),unassigned,pending,hypothesis=experiments/hypotheses/HYP-0011.md
EXP-0020,2026-07-20,experiment,completed,Recasting the noise area as an analytic diffusion cone (sqrt-t) matches or beats the empirical per-slot band,Reject unless the cone daily net-ATR-R Sharpe uplift over the empirical baseline is >=+0.10 on NQ with net R >= baseline; a near-wash (|dSharpe|<=0.05) with net R>=baseline and improved coverage is instead adopt-as-simplification; Null C only if the alpha gate passes.,working-tree,"NQ primary and ES sibling, clean Databento RTH history through 2026, common post-lookback-90 date set (consumed)","core/bands.py (session_vol, noise_bands_cone); scripts/hyp_0012_diffusion_cone.py; tests/test_bands.py",python -m futures.nq.noise_vwap.scripts.hyp_0012_diffusion_cone real NQ,zero-trade-day daily net-ATR-R Sharpe uplift of the diffusion cone over the empirical per-slot band,"REJECT (cross-market NO-GO as a band replacement). Swapping the empirical per-slot mean-|move| band for an end-of-day-calibrated sqrt-t diffusion cone is WORSE, not equal: NQ dSharpe -0.101 / dNetR -1.4R / +705 trades / net pt-per-trade 3.159->2.530; ES dSharpe -0.125 / dNetR -7.5R / +436 trades. Real pass fails the primary metric so no Null C spent. POSITIVE finding via residual m(mfo)=emp/cone: on BOTH markets the empirical band is ~1.35-1.55x WIDER than sqrt-t in the first hour (mfo 29-59), converging to 1.0 at the close -> intraday displacement is SUPER-DIFFUSIVE in the morning; the cone is too narrow early, admits noisier morning breakouts and dilutes per-trade quality. Per-slot empirical shape is load-bearing (the morning), transfers to the ES sibling = real tape structure not machinery. Coverage: cone recovers only 90 decision points (0.2%, mfo 209 ~lunch) on liquid NQ/ES (Rule-9a bug bites thin GC/YM/RTY, not indices). Retain empirical band; the super-diffusive-open residual shapes transforms 2 (quantile) and 3 (asymmetric).",artifacts/runs/EXP-0020,Claude (Opus 4.8),unassigned,pending,hypothesis=experiments/hypotheses/HYP-0012.md; first transform of the user 4-transform noise-area recast programme (cone->quantile->asymmetric); range/EWMA transform dropped by user. cone code is tested reusable pure-diffusion benchmark.
EXP-0021,2026-07-20,experiment,completed,A quantile (percentile) noise band beats the mean band at matched width,"Reject unless the best MATCHED-width q cell daily net-ATR-R Sharpe uplift over the mean baseline is >=+0.10 on NQ with net R >= baseline; Null C only if the matched gate passes; a RAW-only improvement is the width/capacity dial, not a quantile effect.",working-tree,"NQ primary and ES sibling, clean Databento RTH history through 2026, common post-lookback-90 date set (consumed); q-grid {0.50,0.65,0.80,0.90}",core/bands.py (noise_bands_quantile); scripts/hyp_0013_quantile_band.py; tests/test_bands.py,python -m futures.nq.noise_vwap.scripts.hyp_0013_quantile_band real NQ,zero-trade-day daily net-ATR-R Sharpe uplift of the best matched-width quantile band over the mean band,"REJECT (cross-market NO-GO). At MATCHED median width every quantile cell collapses onto the mean band: best matched q0.90 NQ dSharpe +0.032 / dNetR +1.4R, ES dSharpe +0.067 / dNetR +5.2R, both below the +0.10 gate -> no Null C. DECISIVE: residual quant/mean by decision slot is ~1.0 everywhere (0.96-1.01) on BOTH markets = the matched quantile is just the mean band RESCALED, no reshaping of the intraday profile -> the per-slot |move| distribution SHAPE carries no info beyond its LEVEL; the mean is a sufficient statistic at fixed width. The only RAW-view win (q0.50 narrower than mean -> more trades, NQ netR 101.9 vs 91.2 Sh 1.34) is the width/capacity dial (cf k-multiplier WFO EXP-0010/0012), not a quantile effect. Synthesis w/ EXP-0020: neither a sqrt-t reshape (cone) nor a distributional reshape (quantile) adds risk-adjusted value; noise-area dispersion is fully summarized by per-slot LEVEL/width. Retain mean band. Remaining programme lever = transform 3 anchor/symmetry (asymmetric).",artifacts/runs/EXP-0021,Claude (Opus 4.8),unassigned,pending,hypothesis=experiments/hypotheses/HYP-0013.md; transform 2 of the user noise-area recast programme (cone->quantile->asymmetric). RAW vs MATCHED views separate the width dial from distribution shape.
EXP-0022,2026-07-20,experiment,completed,An asymmetric (per-side) noise band beats the symmetric mean band,"Reject unless the best tilt daily net-ATR-R Sharpe uplift over the mean baseline is >=+0.10 on NQ with net R >= baseline; Null C only if the gate passes. Total half-width is conserved for every tilt (sig_up+sig_dn==2*sigma), so any change is pure up/down redistribution, not a width/capacity dial.",working-tree,"NQ primary and ES sibling, clean Databento RTH history through 2026, common post-lookback-90 date set (consumed); tilt-grid {0.5,1.0,1.5}",core/bands.py (noise_bands_asymmetric); scripts/hyp_0014_asymmetric_band.py; tests/test_bands.py,python -m futures.nq.noise_vwap.scripts.hyp_0014_asymmetric_band real NQ,zero-trade-day daily net-ATR-R Sharpe uplift of the best tilt asymmetric band over the symmetric mean band,"REJECT (cross-market NO-GO). Every tilt fails the gate: NQ monotonically WORSE in tilt (dSharpe -0.065/-0.095/-0.110 at tilt 0.5/1.0/1.5, best tilt 0.5 also -5.4R net); ES best tilt 1.0 dSharpe +0.023/+1.9R far below +0.10, tilt 1.5 collapses (maxDD 7.0->12.9R). No Null C (real pass fails primary on both). DECISIVE: per-side residual at tilt=1 is a real cross-market asymmetry but SMALL - up-edge ~2-5% wider, down-edge ~2-5% narrower, consistent across all 13 slots, largest mid-day (up/dn ~1.09-1.10), minimal at mfo 89 (~1.00). The up-tilt is the index up-drift in the up semi-mean; acting on it HURTS on NQ because widening the up-threshold rejects the drift-driven up-breakouts the momentum system rides while narrowing the down-threshold admits counter-drift down-breaks. The symmetric band is actively better - the asymmetry is a drift property already monetized by the VWAP gate + ride-to-close; re-sizing the band double-counts. Width conserved by construction (tested) so not a capacity dial. Synthesis (transforms 1-3): neither a sqrt-t reshape (cone), a distributional reshape (quantile), nor an up/down redistribution (asymmetric) adds value; the noise-area band is fully summarized by its per-slot SYMMETRIC LEVEL/width. Programme exhausted; retain mean band.",artifacts/runs/EXP-0022,Claude (Opus 4.8),Claude (Opus 4.8),reviewed-concur,hypothesis=experiments/hypotheses/HYP-0014.md; transform 3 (final) of the user noise-area recast programme (cone->quantile->asymmetric). Total-half-width conservation proved in tests/test_bands.py so no width-dial confound and no RAW/MATCHED split needed. asymmetric band is tested reusable per-side benchmark.
EXP-0024,2026-07-21,experiment,completed,A symmetric overnight-gap MAGNITUDE whole-day veto improves the NQ continuous-stop baseline,"Reject unless family-best daily Sharpe uplift >= +0.10 AND net R >= baseline; if it clears, uplift must beat 30 paired Null-C at z>=2 AND a 200-draw matched-count random-day-drop null at frac(null>=real)<0.05; weaken if gross/trade on kept trades does not rise or sign does not transfer to ES",legacy-not-frozen (T-grid in scripts/hyp_0015_gap_magnitude_veto.py),"NQ primary + ES sibling, clean Databento RTH through 2026, post-lookback-90 eligible sessions (consumed)",scripts/hyp_0015_gap_magnitude_veto.py,python -m futures.nq.noise_vwap.scripts.hyp_0015_gap_magnitude_veto real {NQ|ES},family-max full-sample daily net-ATR-R Sharpe uplift + net R over the continuous-stop baseline,"REJECT (cross-market NO-GO, fails INVERTED). Skipping days with |overnight gap|/ATR > T degrades BOTH net R and daily Sharpe at every T on NQ AND ES, monotonically (skip more -> lose more): NQ T=0.5 skips 26.8% of days, netR 91.2->58.2 (-33R), Sh 1.72->1.47; family-best T=2.0 still -1.4R/-0.019Sh. Real gate fails on both -> no Null-C (standing rule). WHY: removed trades are PROFITABLE (NQ removed meanR +0.206 vs kept +0.021; removed early <=mfo149 +0.367R) = a big gap is a strong directional open the momentum breakout RIDES, not mis-anchored noise; mechanism inverted. Matched-count random-day null: real dSumR sits at frac(rand>=real)=0.805 NQ / 0.870 ES = random dropping BEATS gap-dropping = anti-selection, worse than a rarity filter. Gross/trade flat while net R collapses = loss is deleting profitable days. Same theme as EXP-0022 (asymmetry is drift already monetized) + vol-independence. Retain unconditioned baseline; whole-day skip == drop-day-trades verified trade-for-trade vs engine entry_gate.",artifacts/runs/EXP-0024,Claude (Opus 4.8),unassigned,pending,"hypothesis=experiments/hypotheses/HYP-0015.md; user idea (hard gap GATE vs the rejected EXP-0017 gap/RVOL scaling); distinct from EXP-0016 (symmetric not directional, no RVOL, whole-day); only the gap gate run (volume gate + 15m clock dropped by user)"
